order_id,order_date,customer_id,product_id,quantity,price,revenue
52,20-12-2023,25,19,2.00,371.00,742
53,22-10-2023,39,1,1.00,1921.00,1921
54,24-08-2023,29,16,4.00,1827.00,7308
55,14-08-2023,42,3,3.00,428.00,1284
56,04-05-2023,6,14,3.00,661.00,1983
57,29-09-2023,18,11,3.00,1240.00,3720
58,13-11-2023,50,6,3.00,220.00,660
59,18-01-2023,41,20,1.00,1452.00,1452
60,22-04-2023,48,8,3.00,1257.00,3771
61,06-08-2023,40,11,4.00,1390.00,5560
62,02-04-2023,47,13,3.00,1051.00,3153
63,16-01-2023,38,18,4.00,516.00,2064
64,04-03-2023,15,15,3.00,1429.00,4287
65,22-06-2023,11,14,2.00,1461.00,2922
66,24-09-2023,49,9,3.00,1478.00,4434
67,10-10-2023,37,3,3.00,964.00,2892
68,09-11-2023,7,4,5.00,1771.00,8855
69,24-11-2023,19,10,5.00,397.00,1985
70,07-01-2023,34,19,2.00,654.00,1308
71,04-06-2023,42,11,2.00,1487.00,2974
72,30-06-2023,23,1,2.00,1102.00,2204
73,08-09-2023,28,8,2.00,130.00,260
74,23-09-2023,48,16,5.00,1769.00,8845
75,06-02-2023,24,17,2.00,480.00,960
76,14-01-2023,27,20,5.00,536.00,2680
77,01-10-2023,36,6,2.00,1075.00,2150
78,19-08-2023,21,15,1.00,598.00,598
79,17-05-2023,22,20,3.00,354.00,1062
80,30-03-2023,33,5,5.00,468.00,2340
81,10-12-2023,13,6,1.00,661.00,661
82,03-08-2023,49,11,5.00,765.00,3825
83,12-08-2023,21,15,5.00,1950.00,9750
84,24-08-2023,41,10,5.00,1787.00,8935
85,19-07-2023,25,18,5.00,1302.00,6510
86,14-04-2023,3,11,1.00,1034.00,1034
87,19-02-2023,47,13,4.00,1610.00,6440
88,01-11-2023,16,14,2.00,1009.00,2018
89,03-01-2023,24,11,5.00,1056.00,5280
90,31-01-2023,40,8,5.00,1913.00,9565
91,09-08-2023,5,14,2.00,1947.00,3894
92,10-12-2023,9,9,1.00,317.00,317
93,30-12-2023,49,1,3.00,852.00,2556
94,04-08-2023,32,18,4.00,1266.00,5064
95,27-02-2023,4,12,1.00,667.00,667
96,17-02-2023,3,17,1.00,1876.00,1876
97,10-12-2023,38,8,2.00,393.00,786
98,11-02-2023,6,10,2.00,1967.00,3934
99,23-03-2023,8,8,5.00,1148.00,5740
100,03-08-2023,35,10,1.00,286.00,286
101,07-02-2023,13,19,4.00,410.00,1640
102,01-06-2023,49,6,1.00,1140.00,1140
103,31-01-2023,2,2,2.00,690.00,1380
104,14-07-2023,37,2,5.00,1648.00,8240
105,27-08-2023,19,12,2.00,397.00,794
106,26-07-2023,19,10,5.00,1708.00,8540
107,13-01-2023,50,13,4.00,1039.00,4156
108,04-01-2023,48,15,4.00,1834.00,7336
109,11-09-2023,39,19,5.00,819.00,4095
110,29-07-2023,18,18,3.00,529.00,1587
111,16-07-2023,21,11,3.00,1939.00,5817
112,08-10-2023,40,10,1.00,615.00,615
113,09-12-2023,24,6,4.00,1990.00,7960
114,14-05-2023,4,1,3.00,1615.00,4845
115,20-01-2023,9,5,5.00,1795.00,8975
116,10-01-2023,9,12,5.00,1603.00,8015
117,25-04-2023,16,11,5.00,1867.00,9335
118,30-12-2023,50,1,4.00,311.00,1244
119,03-07-2023,21,16,1.00,453.00,453
120,18-12-2023,13,8,3.00,170.00,510
121,05-07-2023,3,19,2.00,1887.00,3774
122,26-10-2023,38,19,1.00,317.00,317
123,03-07-2023,32,7,3.00,738.00,2214
124,04-08-2023,37,2,2.00,1276.00,2552
125,21-04-2023,3,13,3.00,512.00,1536
126,22-11-2023,2,6,3.00,217.00,651
127,10-12-2023,22,13,1.00,397.00,397
128,21-02-2023,16,18,1.00,856.00,856
129,23-11-2023,37,15,1.00,581.00,581
130,06-03-2023,10,10,4.00,1540.00,6160
131,03-11-2023,31,9,3.00,1652.00,4956
132,08-01-2023,14,11,5.00,397.00,1985
133,10-10-2023,19,11,2.00,1823.00,3646
134,23-07-2023,22,11,5.00,249.00,1245
135,26-11-2023,23,5,3.00,386.00,1158
136,05-08-2023,15,6,1.00,1491.00,1491
137,01-12-2023,45,13,5.00,1922.00,9610
138,04-02-2023,40,20,1.00,1320.00,1320
139,01-09-2023,31,11,4.00,904.00,3616
140,25-06-2023,12,15,1.00,1131.00,1131
141,19-08-2023,43,18,1.00,1379.00,1379
142,26-05-2023,22,11,5.00,1129.00,5645
143,19-09-2023,13,8,2.00,241.00,482
144,10-09-2023,12,3,3.00,1131.00,3393
145,06-12-2023,40,14,1.00,638.00,638
146,02-10-2023,43,7,3.00,1908.00,5724
147,25-12-2023,38,19,5.00,1921.00,9605
148,30-09-2023,11,6,5.00,1809.00,9045
149,26-10-2023,4,16,5.00,1339.00,6695
150,06-02-2023,2,19,2.00,1728.00,3456
151,21-05-2023,28,10,1.00,538.00,538
152,24-09-2023,26,17,5.00,104.00,520
153,14-05-2023,25,4,4.00,1038.00,4152
154,29-11-2023,49,1,4.00,639.00,2556
155,30-07-2023,26,9,4.00,244.00,976
156,08-09-2023,18,5,2.00,279.00,558
157,15-04-2023,7,19,3.00,1865.00,5595
158,26-06-2023,18,11,2.00,1190.00,2380
159,15-08-2023,14,17,2.00,735.00,1470
160,29-11-2023,13,1,5.00,823.00,4115
161,14-04-2023,17,16,1.00,1481.00,1481
162,18-10-2023,43,5,4.00,951.00,3804
163,17-07-2023,25,8,3.00,445.00,1335
164,23-01-2023,43,12,5.00,502.00,2510
165,12-01-2023,44,10,5.00,619.00,3095
166,19-02-2023,7,3,3.00,1782.00,5346
167,22-01-2023,43,6,4.00,519.00,2076
168,31-12-2023,32,17,2.00,267.00,534
169,18-06-2023,7,20,4.00,1687.00,6748
170,28-10-2023,20,7,5.00,1045.00,5225
171,20-05-2023,1,4,4.00,1754.00,7016
172,28-08-2023,5,8,2.00,586.00,1172
173,13-01-2023,15,4,4.00,1428.00,5712
174,31-08-2023,33,8,5.00,1679.00,8395
175,04-08-2023,2,5,4.00,1585.00,6340
176,16-06-2023,33,3,4.00,1335.00,5340
177,03-07-2023,11,1,5.00,211.00,1055
178,12-12-2023,25,3,1.00,1988.00,1988
179,13-08-2023,34,11,4.00,1027.00,4108
180,18-09-2023,11,1,5.00,1889.00,9445
181,14-01-2023,22,20,3.00,1275.00,3825
182,18-06-2023,11,10,1.00,216.00,216
183,22-08-2023,39,12,5.00,876.00,4380
184,01-08-2023,37,3,4.00,933.00,3732
185,20-06-2023,1,3,3.00,730.00,2190
186,26-03-2023,16,19,1.00,462.00,462
187,11-09-2023,20,20,3.00,1202.00,3606
188,12-04-2023,37,5,3.00,827.00,2481
189,04-11-2023,25,12,5.00,1312.00,6560
190,17-06-2023,27,12,3.00,462.00,1386
191,01-08-2023,26,14,3.00,141.00,423
192,22-10-2023,38,8,4.00,463.00,1852
193,26-01-2023,44,2,5.00,516.00,2580
194,24-09-2023,38,17,1.00,260.00,260
195,11-06-2023,11,10,3.00,475.00,1425
196,10-05-2023,22,9,5.00,1263.00,6315
197,01-08-2023,27,7,2.00,839.00,1678
198,01-10-2023,6,12,5.00,1984.00,9920
199,28-12-2023,33,13,4.00,243.00,972
200,08-02-2023,8,19,4.00,1477.00,5908
